dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,kmeans,N,Y,N,N,Y,Y,N,N,0.2555386787465958,0.4950107014188605,0.431,0.3584380312355651
noise0_shift2,maxmin,N,Y,N,N,Y,Y,N,N,0.2052319776116387,0.40954153661637704,0.443,0.3746523791691051
noise0_shift2,agglomerative,N,Y,N,N,Y,Y,N,N,0.2778563247355891,0.5363556242942561,0.484,0.37421310633227245
noise0_shift2,kmeans,N,Y,N,N,Y,N,Y,N,0.19633547870833568,0.42802441170239275,0.41,0.31173763482543027
noise0_shift2,maxmin,N,Y,N,N,Y,N,Y,N,0.12147000329487542,0.34429230067407124,0.368,0.29332217767711466
noise0_shift2,agglomerative,N,Y,N,N,Y,N,Y,N,0.27441321564662324,0.5495620937198529,0.503,0.39928856825553183
noise0_shift2,kmeans,N,Y,N,N,N,Y,Y,N,0.2830363664716069,0.5314411919801728,0.485,0.43891585841140834
noise0_shift2,maxmin,N,Y,N,N,N,Y,Y,N,0.18028328788527034,0.41039853932345893,0.349,0.27143345027670496
noise0_shift2,agglomerative,N,Y,N,N,N,Y,Y,N,0.2796367653883908,0.5681400013860188,0.476,0.4201180916481727
noise0_shift2,kmeans,N,N,Y,Y,Y,N,N,N,0.22099594522389182,0.4193177561310617,0.422,0.37781221289302597
noise0_shift2,maxmin,N,N,Y,Y,Y,N,N,N,0.175592279078396,0.3944888715615882,0.36,0.2893340584627716
noise0_shift2,agglomerative,N,N,Y,Y,Y,N,N,N,0.25191838731745014,0.5116915561340449,0.472,0.4028792714740958
noise0_shift2,kmeans,N,N,Y,Y,N,Y,N,N,0.3774684644150071,0.6053301609496542,0.54,0.50192237022421
noise0_shift2,maxmin,N,N,Y,Y,N,Y,N,N,0.24487675250885996,0.46153223333680715,0.445,0.39768254776527756
noise0_shift2,agglomerative,N,N,Y,Y,N,Y,N,N,0.4014377334554937,0.6268054589573124,0.567,0.5436807270914965
noise0_shift2,kmeans,N,N,Y,Y,N,N,Y,N,0.32557276995164963,0.5386187190014251,0.497,0.4798411171127147
noise0_shift2,maxmin,N,N,Y,Y,N,N,Y,N,0.248053898229044,0.47022055736054136,0.458,0.38299456124134423
noise0_shift2,agglomerative,N,N,Y,Y,N,N,Y,N,0.36423668955632205,0.6062581415117974,0.526,0.46030325518293064
noise0_shift2,kmeans,N,N,Y,N,Y,Y,N,N,0.3539206586448539,0.5899456620828336,0.534,0.4970740594347376
noise0_shift2,maxmin,N,N,Y,N,Y,Y,N,N,0.18540961932983815,0.43978063230420084,0.453,0.4234043550915939
noise0_shift2,agglomerative,N,N,Y,N,Y,Y,N,N,0.38126340751667864,0.6318011802907992,0.568,0.5481814797825593
noise0_shift2,kmeans,N,N,Y,N,Y,N,Y,N,0.26957434937287367,0.5055520833770418,0.463,0.3852359215043523
noise0_shift2,maxmin,N,N,Y,N,Y,N,Y,N,0.1627259084653501,0.3853466185266763,0.412,0.35898027293566004
noise0_shift2,agglomerative,N,N,Y,N,Y,N,Y,N,0.339235016635794,0.585638334022647,0.516,0.4688718966082569
noise0_shift2,kmeans,N,N,Y,N,N,Y,Y,N,0.8346315596473322,0.9203126188106252,0.894,0.85643822813774
noise0_shift2,maxmin,N,N,Y,N,N,Y,Y,N,0.3828793963566683,0.6731906219849039,0.582,0.5063465602348685
noise0_shift2,agglomerative,N,N,Y,N,N,Y,Y,N,0.8016571803589894,0.9197361902087028,0.857,0.8215826583837907
noise0_shift2,kmeans,N,N,N,Y,Y,Y,N,N,0.2647860268222404,0.5054867929995162,0.452,0.39851409427790674
noise0_shift2,maxmin,N,N,N,Y,Y,Y,N,N,0.2282550959859438,0.44295038532234915,0.454,0.41408117592628324
noise0_shift2,agglomerative,N,N,N,Y,Y,Y,N,N,0.2482411523020729,0.5035202588294607,0.437,0.36848439175169434
noise0_shift2,kmeans,N,N,N,Y,Y,N,Y,N,0.23301400025692068,0.4505798714769435,0.431,0.40704886203277224
noise0_shift2,maxmin,N,N,N,Y,Y,N,Y,N,0.1661337464458104,0.3757920706381526,0.395,0.3106119421409413
noise0_shift2,agglomerative,N,N,N,Y,Y,N,Y,N,0.28254056346719136,0.5174227619133809,0.455,0.36761126717066117
noise0_shift2,kmeans,N,N,N,Y,N,Y,Y,N,0.37874897757616227,0.6122147843689457,0.544,0.4609236956522132
noise0_shift2,maxmin,N,N,N,Y,N,Y,Y,N,0.2815801851796584,0.5450131969900345,0.491,0.41879783931288417
noise0_shift2,agglomerative,N,N,N,Y,N,Y,Y,N,0.44786091358723706,0.6943316423766167,0.594,0.5276452296313902
noise0_shift2,kmeans,N,N,N,N,Y,Y,Y,N,0.5032437370027015,0.7103983795653483,0.66,0.5932591792863119
noise0_shift2,maxmin,N,N,N,N,Y,Y,Y,N,0.3108339912245369,0.6125544892845927,0.569,0.5008545043306569
noise0_shift2,agglomerative,N,N,N,N,Y,Y,Y,N,0.4060312021401326,0.6877036685818511,0.616,0.5655274912609727
noise0_shift2,kmeans,Y,Y,Y,Y,N,N,N,N,0.20992317591798956,0.4466454890110939,0.398,0.3270766652312219
noise0_shift2,maxmin,Y,Y,Y,Y,N,N,N,N,0.1297218443813955,0.3156333945700071,0.363,0.29222623463245334
noise0_shift2,agglomerative,Y,Y,Y,Y,N,N,N,N,0.24023262968641979,0.478016942062733,0.455,0.41410855846869754
noise0_shift2,kmeans,Y,Y,Y,N,Y,N,N,N,0.18287806199127143,0.40212379266179743,0.411,0.3260348520604214
noise0_shift2,maxmin,Y,Y,Y,N,Y,N,N,N,0.1834765223660298,0.3892309600739202,0.399,0.3365641048192524
noise0_shift2,agglomerative,Y,Y,Y,N,Y,N,N,N,0.2588671579547581,0.5418860857033477,0.488,0.41458606433684125
noise0_shift2,kmeans,Y,Y,Y,N,N,Y,N,N,0.22046961786949926,0.4377061684029752,0.454,0.4041742532206067
noise0_shift2,maxmin,Y,Y,Y,N,N,Y,N,N,0.19666398172920604,0.4219976535517236,0.437,0.3984295711463103
noise0_shift2,agglomerative,Y,Y,Y,N,N,Y,N,N,0.3306590930311511,0.6073509449802732,0.517,0.48375562266582994
noise0_shift2,kmeans,Y,Y,Y,N,N,N,Y,N,0.19127663385496074,0.41610508530888735,0.41,0.33593040539237723
noise0_shift2,maxmin,Y,Y,Y,N,N,N,Y,N,0.15624247545499936,0.3518654858099242,0.378,0.31589716507395377
noise0_shift2,agglomerative,Y,Y,Y,N,N,N,Y,N,0.3062772855435952,0.5712166606414261,0.498,0.43485104291380966
noise0_shift2,kmeans,Y,Y,N,Y,Y,N,N,N,0.19924136187214864,0.4323975407688849,0.393,0.3266310683181922
noise0_shift2,maxmin,Y,Y,N,Y,Y,N,N,N,0.14474740429733793,0.3527900266791131,0.386,0.30974449792453335
noise0_shift2,agglomerative,Y,Y,N,Y,Y,N,N,N,0.23335549411289572,0.4847673430303024,0.469,0.37082526457039294
noise0_shift2,kmeans,Y,Y,N,Y,N,Y,N,N,0.22395025844459404,0.4562450003700544,0.403,0.3697276218196792
noise0_shift2,maxmin,Y,Y,N,Y,N,Y,N,N,0.1474170676784576,0.34317158598299513,0.392,0.34248242375167226
noise0_shift2,agglomerative,Y,Y,N,Y,N,Y,N,N,0.29340891486073667,0.558084281991203,0.492,0.43636308394818035
noise0_shift2,kmeans,Y,Y,N,Y,N,N,Y,N,0.19576974893214044,0.4221875885635871,0.409,0.372903885888044
noise0_shift2,maxmin,Y,Y,N,Y,N,N,Y,N,0.11684863906871115,0.3157772652632346,0.355,0.32234917668497776
noise0_shift2,agglomerative,Y,Y,N,Y,N,N,Y,N,0.26150740580855736,0.5242754290610664,0.447,0.3803519407168342
noise0_shift2,kmeans,Y,Y,N,N,Y,Y,N,N,0.18509561271453184,0.4160855712455341,0.416,0.33082730952783024
noise0_shift2,maxmin,Y,Y,N,N,Y,Y,N,N,0.2052319776116387,0.40954153661637704,0.443,0.3746523791691051
noise0_shift2,agglomerative,Y,Y,N,N,Y,Y,N,N,0.2778563247355891,0.5363556242942561,0.484,0.37421310633227245
noise0_shift2,kmeans,Y,Y,N,N,Y,N,Y,N,0.18017767878473356,0.4015625170312329,0.401,0.3194926384989689
noise0_shift2,maxmin,Y,Y,N,N,Y,N,Y,N,0.11937412883615632,0.34262578376016145,0.368,0.2940342268788664
noise0_shift2,agglomerative,Y,Y,N,N,Y,N,Y,N,0.27441321564662324,0.5495620937198529,0.503,0.39928856825553183
noise0_shift2,kmeans,Y,Y,N,N,N,Y,Y,N,0.2830363664716069,0.5314411919801728,0.485,0.43891585841140834
noise0_shift2,maxmin,Y,Y,N,N,N,Y,Y,N,0.18063409748399462,0.40921621599996666,0.356,0.28080883362966247
noise0_shift2,agglomerative,Y,Y,N,N,N,Y,Y,N,0.2796367653883908,0.5681400013860188,0.476,0.4201180916481727
