dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,agglomerative,Y,N,Y,N,Y,N,N,N,0.32273214924878735,0.577869415329244,0.487,0.45800947669844405
noise0_shift2,kmeans,Y,N,Y,N,N,Y,N,N,0.35855701829372544,0.6061504065616717,0.505,0.508792208453557
noise0_shift2,maxmin,Y,N,Y,N,N,Y,N,N,0.056503965531705176,0.31127020847670744,0.305,0.2537395532340901
noise0_shift2,agglomerative,Y,N,Y,N,N,Y,N,N,0.36678923693676935,0.640229755564563,0.514,0.47266405471767375
noise0_shift2,kmeans,Y,N,Y,N,N,N,Y,N,0.24072097899190442,0.46348366460691115,0.418,0.40021000696644
noise0_shift2,maxmin,Y,N,Y,N,N,N,Y,N,0.052649972881511305,0.27987014907084634,0.259,0.20859832832919026
noise0_shift2,agglomerative,Y,N,Y,N,N,N,Y,N,0.29474590725553923,0.5790335938163594,0.485,0.4608956370705868
noise0_shift2,kmeans,Y,N,N,Y,Y,N,N,N,0.34510882510806284,0.5381868960165738,0.493,0.4465170812356993
noise0_shift2,maxmin,Y,N,N,Y,Y,N,N,N,0.03623826185943542,0.23619132945901658,0.226,0.14263307378160583
noise0_shift2,agglomerative,Y,N,N,Y,Y,N,N,N,0.26126773833609557,0.5002835936048831,0.424,0.3796660978680658
noise0_shift2,kmeans,Y,N,N,Y,N,Y,N,N,0.37522941708192614,0.5946687208036266,0.523,0.5231297154712602
noise0_shift2,maxmin,Y,N,N,Y,N,Y,N,N,0.0465841404843877,0.2863650139063699,0.256,0.18917251067947688
noise0_shift2,agglomerative,Y,N,N,Y,N,Y,N,N,0.37335991216526637,0.6369262493332508,0.539,0.5183751579662814
noise0_shift2,kmeans,Y,N,N,Y,N,N,Y,N,0.2361224197225342,0.4576057433469385,0.423,0.40499733790529013
noise0_shift2,maxmin,Y,N,N,Y,N,N,Y,N,0.03797679994073341,0.22596680938592367,0.225,0.13661209836888336
noise0_shift2,agglomerative,Y,N,N,Y,N,N,Y,N,0.25000578548899827,0.4867671796794218,0.432,0.38065458090457616
noise0_shift2,kmeans,Y,N,N,N,Y,Y,N,N,0.398189653520339,0.6228793631690794,0.548,0.49635771632021486
noise0_shift2,maxmin,Y,N,N,N,Y,Y,N,N,0.13257746029139186,0.41090182955452015,0.424,0.3751305311569519
noise0_shift2,agglomerative,Y,N,N,N,Y,Y,N,N,0.4622824987254971,0.6773847479241111,0.591,0.5499228137291271
noise0_shift2,kmeans,Y,N,N,N,Y,N,Y,N,0.28704790227324156,0.5257179427974258,0.493,0.47991977626364857
noise0_shift2,maxmin,Y,N,N,N,Y,N,Y,N,0.11601958780896418,0.3999438193370379,0.351,0.29456875574008856
noise0_shift2,agglomerative,Y,N,N,N,Y,N,Y,N,0.4160151087671418,0.6574142918204328,0.547,0.511697775584018
noise0_shift2,kmeans,Y,N,N,N,N,Y,Y,N,0.43746182168630543,0.6675992434815212,0.577,0.5428843135253418
noise0_shift2,maxmin,Y,N,N,N,N,Y,Y,N,0.16693684729451402,0.43492819250297704,0.428,0.3737055292230765
noise0_shift2,agglomerative,Y,N,N,N,N,Y,Y,N,0.3589991682635377,0.6212656730552517,0.482,0.4451164856661592
noise0_shift2,kmeans,N,Y,Y,Y,N,N,N,N,0.07576796376831739,0.22639289711532995,0.271,0.22754423448205338
noise0_shift2,maxmin,N,Y,Y,Y,N,N,N,N,0.0030719353309626033,0.11877767449367825,0.168,0.13456518875822795
noise0_shift2,agglomerative,N,Y,Y,Y,N,N,N,N,0.1982425961510068,0.4266295875325393,0.377,0.3176549566230692
noise0_shift2,kmeans,N,Y,Y,N,Y,N,N,N,0.15463577035843015,0.3369924642644732,0.394,0.3767661272036761
noise0_shift2,maxmin,N,Y,Y,N,Y,N,N,N,0.03163310165158586,0.18335621903049917,0.241,0.18459609384290418
noise0_shift2,agglomerative,N,Y,Y,N,Y,N,N,N,0.28063248080367964,0.4902387298331254,0.476,0.44920751787625185
noise0_shift2,kmeans,N,Y,Y,N,N,Y,N,N,0.5204907105252647,0.7130676759181516,0.611,0.5415378506222069
noise0_shift2,maxmin,N,Y,Y,N,N,Y,N,N,0.03380057889066011,0.25333625727582076,0.26,0.24101171575712588
noise0_shift2,agglomerative,N,Y,Y,N,N,Y,N,N,0.441654939117459,0.6941964938522285,0.603,0.5695517336057236
noise0_shift2,kmeans,N,Y,Y,N,N,N,Y,N,0.229485175220994,0.4268306523131842,0.386,0.33831061651578276
noise0_shift2,maxmin,N,Y,Y,N,N,N,Y,N,0.011556492769207862,0.18562868067065064,0.221,0.20179514834571885
noise0_shift2,agglomerative,N,Y,Y,N,N,N,Y,N,0.2870726829877702,0.5161361515181041,0.459,0.4184614054906152
noise0_shift2,kmeans,N,Y,N,Y,Y,N,N,N,0.14457192360668203,0.32755366976354366,0.34,0.28141683649556143
noise0_shift2,maxmin,N,Y,N,Y,Y,N,N,N,0.013914927302938902,0.18807857133548886,0.215,0.18802513453267655
noise0_shift2,agglomerative,N,Y,N,Y,Y,N,N,N,0.26604056398958265,0.5003844498789493,0.446,0.4286228967412488
noise0_shift2,kmeans,N,Y,N,Y,N,Y,N,N,0.39489514898550143,0.6178982923216834,0.526,0.49761831066029866
