dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari_A,nmi_A,accuracy_A,macro_f1_A,ari_B,nmi_B,accuracy_B,macro_f1_B,ari_diff,ari_rel_diff,nmi_diff,nmi_rel_diff,accuracy_diff,accuracy_rel_diff,macro_f1_diff,macro_f1_rel_diff
noise0_shift2,kmeans,Y,N,N,N,N,Y,N,N,0.7422305835689751,0.871045935131905,0.827,0.8017469696241853,0.8694438275806105,0.954425967971676,0.9,0.8666666666666666,0.12721324401163536,0.17139315844402078,0.08338003283977102,0.09572403644492589,0.07300000000000006,0.08827085852478847,0.06491969704248124,0.08097280002556417
noise0_shift2,maxmin,Y,N,N,N,N,Y,N,N,0.6253012333020824,0.8427414885781572,0.778,0.727363188863033,0.8694438275806105,0.9544259679716764,0.9,0.8666666666666666,0.24414259427852802,0.39043996921173985,0.11168447939351922,0.13252519415170744,0.122,0.15681233933161953,0.1393034778036336,0.1915184600163555
noise0_shift2,agglomerative,Y,N,N,N,N,Y,N,N,0.7332654545784939,0.8717961206749792,0.818,0.7926271651774572,0.8696409518219367,0.9544982399912548,0.9,0.8666666666666666,0.13637549724344278,0.18598380217139246,0.08270211931627558,0.0948640597898558,0.08200000000000007,0.10024449877750621,0.07403950148920935,0.0934102497895502
noise0_shift2,kmeans,Y,N,N,N,N,N,Y,N,0.3518370458251303,0.6198810515916227,0.464,0.4129044924818392,1.0,1.0,1.0,1.0,0.6481629541748697,1.8422248647944224,0.38011894840837734,0.6132127243321506,0.536,1.1551724137931034,0.5870955075181608,1.42186757036552
noise0_shift2,maxmin,Y,N,N,N,N,N,Y,N,0.3425294897564552,0.5882981876700916,0.518,0.4672191273385128,0.6560104058911052,0.8341169530005788,0.757,0.6922782764524232,0.31348091613464996,0.9151939482861481,0.2458187653304872,0.4178472252379919,0.239,0.46138996138996136,0.22505914911391045,0.4816993482179274
noise0_shift2,agglomerative,Y,N,N,N,N,N,Y,N,0.4614614669727374,0.7116316489230967,0.595,0.5360409061866298,0.8696409518219367,0.9544982399912548,0.9,0.8666666666666666,0.4081794848491993,0.8845364435885046,0.2428665910681581,0.3412813236112884,0.30500000000000005,0.5126050420168068,0.3306257604800368,0.6167920333395694
noise0_shift2,kmeans,N,Y,Y,N,N,N,N,N,0.1202328327935551,0.3396981443736412,0.351,0.3005200234479701,0.1202328327935551,0.3396981443736412,0.351,0.3005200234479701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,maxmin,N,Y,Y,N,N,N,N,N,0.1970572985262434,0.408104296859637,0.405,0.3485290448924399,0.1970572985262434,0.408104296859637,0.405,0.3485290448924399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,agglomerative,N,Y,Y,N,N,N,N,N,0.2026622072944749,0.473388013815115,0.42,0.3634579401774975,0.2026622072944749,0.473388013815115,0.42,0.3634579401774975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise0_shift2,kmeans,N,Y,N,Y,N,N,N,N,0.2360377649738854,0.4655664378054841,0.423,0.3952469960716306,0.1490367514867909,0.3681554190927478,0.366,0.3108320612570445,-0.08700101348709449,-0.3685893801643142,-0.09741101871273633,-0.2092311876515358,-0.056999999999999995,-0.1347517730496454,-0.08441493481458612,-0.21357514580398632
noise0_shift2,maxmin,N,Y,N,Y,N,N,N,N,0.1963840837390381,0.4003927943525018,0.41,0.3681212720308826,0.1288335243541926,0.323671367801589,0.37,0.332118835952043,-0.0675505593848455,-0.3439716605272808,-0.0767214265509128,-0.1916154027571436,-0.03999999999999998,-0.09756097560975606,-0.03600243607883957,-0.09780047721833157
noise0_shift2,agglomerative,N,Y,N,Y,N,N,N,N,0.2455271899899374,0.5009685088958539,0.423,0.3749545219346549,0.2092621888063673,0.4480186053821222,0.404,0.3358011302003443,-0.036265001183570095,-0.14770258717601242,-0.05294990351373169,-0.10569507378903815,-0.01899999999999996,-0.04491725768321504,-0.039153391734310594,-0.10442170835089713
noise0_shift2,kmeans,N,Y,N,N,Y,N,N,N,0.1659082626079327,0.3878902100359814,0.367,0.2966524720039604,0.1701097365480435,0.4154274721073508,0.393,0.3190724533371571,0.004201473940110806,0.025324078946203837,0.027537262071369417,0.07099241321098311,0.026000000000000023,0.07084468664850142,0.022419981333196726,0.07557658691243743
noise0_shift2,maxmin,N,Y,N,N,Y,N,N,N,0.1161427703921774,0.3028010553894903,0.346,0.2797485108988712,0.123290656022033,0.3267785571324774,0.366,0.3215150891748991,0.007147885629855605,0.06154395668124203,0.023977501742987073,0.07918566106761096,0.020000000000000018,0.05780346820809254,0.04176657827602792,0.14930044897049155
noise0_shift2,agglomerative,N,Y,N,N,Y,N,N,N,0.2315271882887703,0.5038500907774179,0.463,0.3891650743072119,0.2671061645034986,0.5173162643780899,0.493,0.4193594088205916,0.0355789762147283,0.15367083441773902,0.013466173600671927,0.02672654792994922,0.02999999999999997,0.06479481641468676,0.03019433451337966,0.07758747253239859
noise0_shift2,kmeans,N,Y,N,N,N,Y,N,N,0.1926012346288556,0.3903389256372808,0.413,0.3451565857333443,0.208244796454789,0.4695674376272193,0.418,0.3215148038886587,0.015643561825933405,0.08122254177694498,0.07922851198993852,0.20297363851321598,0.0050000000000000044,0.012106537530266356,-0.023641781844685572,-0.06849581558600297
noise0_shift2,maxmin,N,Y,N,N,N,Y,N,N,0.172153612001224,0.3783814517398191,0.374,0.3287699965613507,0.1839303172621461,0.3914465306451608,0.371,0.3355557012491158,0.011776705260922088,0.06840812181645284,0.013065078905341698,0.03452885664788201,-0.0030000000000000027,-0.008021390374331559,0.006785704687765126,0.02063967137736934
noise0_shift2,agglomerative,N,Y,N,N,N,Y,N,N,0.2165011878703925,0.4737633237838821,0.437,0.372351991049222,0.229410600114944,0.4895907548798773,0.41,0.3108712720579396,0.0129094122445515,0.05962744302483764,0.015827431095995215,0.03340788596631692,-0.027000000000000024,-0.06178489702517168,-0.061480718991282435,-0.1651145165574129
noise0_shift2,kmeans,N,Y,N,N,N,N,Y,N,0.1641785307597668,0.4079951880833847,0.376,0.3193234509469084,0.2170497033186454,0.4664122113102942,0.462,0.3739866775622685,0.052871172558878604,0.3220346309240763,0.058417023226909504,0.143180667157698,0.08600000000000002,0.2287234042553192,0.054663226615360105,0.17118450415484382
noise0_shift2,maxmin,N,Y,N,N,N,N,Y,N,0.1698955609181259,0.3837101223889156,0.37,0.3250649915313228,0.1478827985091281,0.3609259546162023,0.346,0.2868507297407738,-0.0220127624089978,-0.12956643652158711,-0.022784167772713304,-0.05937859452563527,-0.02400000000000002,-0.06486486486486492,-0.03821426179054899,-0.11755883526715216
noise0_shift2,agglomerative,N,Y,N,N,N,N,Y,N,0.1728831896425205,0.4298782708533663,0.385,0.2991624819457325,0.1789337785945427,0.419940237308276,0.378,0.337490333165735,0.006050588952022207,0.03499813350582739,-0.009938033545090263,-0.02311825048835785,-0.007000000000000006,-0.0181818181818182,0.03832785122000254,0.12811717221598376
noise0_shift2,kmeans,N,N,Y,Y,N,N,N,N,0.2354946008109185,0.4553328548771404,0.439,0.365724923659449,0.2743666624579269,0.4751411794054664,0.453,0.4284340136360954,0.038872061647008405,0.16506561727170663,0.019808324528325982,0.043502954632322184,0.014000000000000012,0.031890660592255156,0.06270908997664643,0.17146518030321353
noise0_shift2,maxmin,N,N,Y,Y,N,N,N,N,0.2230418549939861,0.4413406155062834,0.419,0.3684352862433904,0.2032231015987108,0.4274272842640723,0.415,0.3258165024989637,-0.019818753395275307,-0.08885665605592136,-0.013913331242211113,-0.03152515484270681,-0.0040000000000000036,-0.00954653937947495,-0.04261878374442668,-0.11567508687610469
noise0_shift2,agglomerative,N,N,Y,Y,N,N,N,N,0.2532988245711329,0.5053714040037605,0.424,0.379110630601275,0.2296347415823335,0.4729272755180347,0.409,0.3640605299036005,-0.023664082988799406,-0.09342357995093624,-0.032444128485725754,-0.06419858391015004,-0.015000000000000013,-0.03537735849056607,-0.015050100697674484,-0.039698440198853845
noise0_shift2,kmeans,N,N,Y,N,Y,N,N,N,0.1762575045925855,0.3809583331026028,0.371,0.3001464633106109,0.197852605506762,0.3866664286517483,0.42,0.3635472112856903,0.021595100914176518,0.12252017844058904,0.0057080955491454755,0.01498351670813334,0.04899999999999999,0.13207547169811318,0.06340074797507939,0.2112327004482082
noise0_shift2,maxmin,N,N,Y,N,Y,N,N,N,0.1625721575912577,0.3718445641526239,0.364,0.3142047878324945,0.1506516688609495,0.3531165827749706,0.379,0.3244148715403622,-0.01192048873030821,-0.07332429431292257,-0.018727981377653302,-0.05036508042098576,0.015000000000000013,0.04120879120879125,0.01021008370786769,0.032494997222355444
noise0_shift2,agglomerative,N,N,Y,N,Y,N,N,N,0.208409246607838,0.4498892101380577,0.395,0.3537529283823061,0.1742258234194711,0.3714683689330394,0.383,0.3494933634690335,-0.034183423188366896,-0.16402066484453814,-0.0784208412050183,-0.1743114514370177,-0.01200000000000001,-0.030379746835443065,-0.004259564913272618,-0.01204107322235151
noise0_shift2,kmeans,N,N,Y,N,N,Y,N,N,0.5732096799937628,0.7334419870932821,0.719,0.7218052061172531,0.6994364902041985,0.8359843746225777,0.802,0.7615789304748126,0.1262268102104357,0.2202105348461826,0.10254238752929556,0.13980981363731745,0.08300000000000007,0.11543810848400567,0.03977372435755955,0.055103127575805454
noise0_shift2,maxmin,N,N,Y,N,N,Y,N,N,0.2509327785926616,0.5299390840586737,0.475,0.3749278601441879,0.3369656581806324,0.6301093802438373,0.593,0.5148918507995677,0.08603287958797079,0.34285229721872124,0.1001702961851636,0.18902228425573714,0.118,0.24842105263157896,0.1399639906553798,0.3733091229911619
noise0_shift2,agglomerative,N,N,Y,N,N,Y,N,N,0.618913150568105,0.7972188967111712,0.695,0.6587017655429583,0.8016571803589894,0.9197361902087028,0.857,0.8215826583837907,0.18274402979088433,0.2952660314668419,0.1225172934975316,0.15368086983758372,0.16200000000000003,0.23309352517985618,0.1628808928408324,0.2472756281540737
noise0_shift2,kmeans,N,N,Y,N,N,N,Y,N,0.2969911323855584,0.5407345778785734,0.486,0.448409848568892,0.488130668306904,0.6758662827081298,0.631,0.6060282658162571,0.19113953592134558,0.6435866767671882,0.1351317048295564,0.2499039461462022,0.14500000000000002,0.2983539094650206,0.15761841724736514,0.3515052529519749
noise0_shift2,maxmin,N,N,Y,N,N,N,Y,N,0.263480169796797,0.4864137895291723,0.466,0.4068956391579405,0.2816651946912757,0.5169031463546231,0.446,0.3685303540979786,0.018185024894478707,0.06901857133500212,0.030489356825450786,0.06268193353433334,-0.020000000000000018,-0.04291845493562235,-0.03836528505996195,-0.0942877764415413
noise0_shift2,agglomerative,N,N,Y,N,N,N,Y,N,0.4212066868674376,0.6379574484604894,0.579,0.514492338605314,0.5766401280553914,0.7798018193897467,0.658,0.5804475620119262,0.15543344118795382,0.3690194055178234,0.14184437092925728,0.22234142930935952,0.07900000000000007,0.13644214162348892,0.0659552234066122,0.1281947629879264
noise0_shift2,kmeans,N,N,N,Y,Y,N,N,N,0.2427811234969949,0.4629877334807316,0.452,0.4022136568914199,0.1879892016717452,0.3826576946677992,0.394,0.3253144268008118,-0.054791921825249695,-0.2256844396962678,-0.08033003881293238,-0.17350360064404496,-0.057999999999999996,-0.12831858407079644,-0.07689923009060812,-0.19119000255967825
noise0_shift2,maxmin,N,N,N,Y,Y,N,N,N,0.1772577896864666,0.3974361992004873,0.39,0.377883351235722,0.1733574086416525,0.380288130818422,0.407,0.3128174737043425,-0.003900381044814105,-0.02200400361368093,-0.017148068382065285,-0.04314671994287796,0.01699999999999996,0.04358974358974348,-0.06506587753137949,-0.1721850865316151
noise0_shift2,agglomerative,N,N,N,Y,Y,N,N,N,0.2003773436797524,0.4292832052243357,0.371,0.3303526070862547,0.2441241490483356,0.4773442474697882,0.436,0.3952335036629245,0.04374680536858319,0.21832211449264605,0.04806104224545249,0.11195649319739087,0.065,0.1752021563342318,0.06488089657666979,0.19639892401312112
