dataset,method,projection,intersections,zoning_4x4,zoning_8x8,global,grad_hist,skeleton,bbox_norm,ari,nmi,accuracy,macro_f1
noise0_shift2,maxmin,Y,N,Y,Y,N,N,N,N,0.22304185499398615,0.4413406155062834,0.419,0.3684352862433904
noise0_shift2,agglomerative,Y,N,Y,Y,N,N,N,N,0.25329882457113295,0.5053714040037605,0.424,0.37911063060127503
noise0_shift2,kmeans,Y,N,Y,N,Y,N,N,N,0.21349354020570857,0.4371417249050859,0.427,0.356862467662606
noise0_shift2,maxmin,Y,N,Y,N,Y,N,N,N,0.1622845660385769,0.3879017919252932,0.376,0.3149828202743367
noise0_shift2,agglomerative,Y,N,Y,N,Y,N,N,N,0.21395037931015395,0.44619388947408994,0.432,0.35168221016626466
noise0_shift2,kmeans,Y,N,Y,N,N,Y,N,N,0.5373276980222327,0.7155038626460172,0.668,0.626847145507253
noise0_shift2,maxmin,Y,N,Y,N,N,Y,N,N,0.19614881018947353,0.48118472179919564,0.417,0.30165220791783726
noise0_shift2,agglomerative,Y,N,Y,N,N,Y,N,N,0.6867112538063127,0.8450556815917493,0.752,0.7210989338701259
noise0_shift2,kmeans,Y,N,Y,N,N,N,Y,N,0.3878150644038054,0.5857602276273304,0.544,0.49698751548416914
noise0_shift2,maxmin,Y,N,Y,N,N,N,Y,N,0.24326477930867937,0.4550364867461417,0.431,0.34404565377862595
noise0_shift2,agglomerative,Y,N,Y,N,N,N,Y,N,0.3115526527425455,0.5695327216412619,0.464,0.41953263398369717
noise0_shift2,kmeans,Y,N,N,Y,Y,N,N,N,0.24692545745484137,0.4576787255347558,0.418,0.42255776953795837
noise0_shift2,maxmin,Y,N,N,Y,Y,N,N,N,0.1763252529476117,0.3960711121293048,0.387,0.34884323201871703
noise0_shift2,agglomerative,Y,N,N,Y,Y,N,N,N,0.20037734367975246,0.4292832052243357,0.371,0.33035260708625475
noise0_shift2,kmeans,Y,N,N,Y,N,Y,N,N,0.2494685578358075,0.47159449455125413,0.455,0.4299240362196951
noise0_shift2,maxmin,Y,N,N,Y,N,Y,N,N,0.22586627545558427,0.45999819933728153,0.445,0.3968276656260547
noise0_shift2,agglomerative,Y,N,N,Y,N,Y,N,N,0.32447517185003455,0.576156007608644,0.488,0.4013867073391932
noise0_shift2,kmeans,Y,N,N,Y,N,N,Y,N,0.25613947136190746,0.4663052826163133,0.445,0.39931761119323794
noise0_shift2,maxmin,Y,N,N,Y,N,N,Y,N,0.2284746984966667,0.45371000406785617,0.436,0.3944196393163604
noise0_shift2,agglomerative,Y,N,N,Y,N,N,Y,N,0.2576380537814968,0.48771033533055635,0.448,0.39756658713620785
noise0_shift2,kmeans,Y,N,N,N,Y,Y,N,N,0.4525453272060886,0.685744202246548,0.623,0.562348701934728
noise0_shift2,maxmin,Y,N,N,N,Y,Y,N,N,0.23233807562508021,0.4916658542248215,0.475,0.4031211569522535
noise0_shift2,agglomerative,Y,N,N,N,Y,Y,N,N,0.43594546124290506,0.6914183763896161,0.605,0.5490892490488734
noise0_shift2,kmeans,Y,N,N,N,Y,N,Y,N,0.22695869061226,0.43224197143572984,0.454,0.40603856303619584
noise0_shift2,maxmin,Y,N,N,N,Y,N,Y,N,0.12311737214029647,0.3398318591445759,0.369,0.35248888454006866
noise0_shift2,agglomerative,Y,N,N,N,Y,N,Y,N,0.21333352154618954,0.4432279730000997,0.43,0.3889112885377948
noise0_shift2,kmeans,Y,N,N,N,N,Y,Y,N,0.8289550103496587,0.9104540988928644,0.886,0.8907871962813736
noise0_shift2,maxmin,Y,N,N,N,N,Y,Y,N,0.6803351967741577,0.8941950868443795,0.8,0.75
noise0_shift2,agglomerative,Y,N,N,N,N,Y,Y,N,0.8696409518219367,0.9544982399912549,0.9,0.8666666666666666
noise0_shift2,kmeans,N,Y,Y,Y,N,N,N,N,0.2307657221913401,0.4547711658622255,0.396,0.3222558068393226
noise0_shift2,maxmin,N,Y,Y,Y,N,N,N,N,0.15230417322110898,0.34064850904385974,0.36,0.29225629729413327
noise0_shift2,agglomerative,N,Y,Y,Y,N,N,N,N,0.24667051980117363,0.5018728213763153,0.423,0.375081982903671
noise0_shift2,kmeans,N,Y,Y,N,Y,N,N,N,0.14971610463700769,0.3630655767381756,0.339,0.2494327457663308
noise0_shift2,maxmin,N,Y,Y,N,Y,N,N,N,0.12190661963882111,0.3229364465151039,0.36,0.28725827622082833
noise0_shift2,agglomerative,N,Y,Y,N,Y,N,N,N,0.24256425323215858,0.5078870567879822,0.485,0.4238764788263108
noise0_shift2,kmeans,N,Y,Y,N,N,Y,N,N,0.20826841501123183,0.42993071417041273,0.416,0.3671106806551398
noise0_shift2,maxmin,N,Y,Y,N,N,Y,N,N,0.20478330499727426,0.4127376484246004,0.406,0.364355148825284
noise0_shift2,agglomerative,N,Y,Y,N,N,Y,N,N,0.2422955753720741,0.5059503019469132,0.436,0.34199475980121624
noise0_shift2,kmeans,N,Y,Y,N,N,N,Y,N,0.14060254442878733,0.3682780754052167,0.372,0.3452148646125242
noise0_shift2,maxmin,N,Y,Y,N,N,N,Y,N,0.2018725735287138,0.416026381853967,0.421,0.3869971272557384
noise0_shift2,agglomerative,N,Y,Y,N,N,N,Y,N,0.22181107408249243,0.4598101862536082,0.425,0.36254735746155947
noise0_shift2,kmeans,N,Y,N,Y,Y,N,N,N,0.20132706943419257,0.42826169334410763,0.38,0.3330001649227464
noise0_shift2,maxmin,N,Y,N,Y,Y,N,N,N,0.15883230421842817,0.3548051354974013,0.358,0.2837985712084139
noise0_shift2,agglomerative,N,Y,N,Y,Y,N,N,N,0.23172526734155524,0.4767521090894624,0.397,0.3502708728682926
noise0_shift2,kmeans,N,Y,N,Y,N,Y,N,N,0.20185736291217507,0.43701810462734914,0.379,0.3222101202856966
noise0_shift2,maxmin,N,Y,N,Y,N,Y,N,N,0.2093280948178257,0.4200798659861448,0.424,0.3830389978737283
noise0_shift2,agglomerative,N,Y,N,Y,N,Y,N,N,0.2455271899899374,0.5009685088958539,0.423,0.3749545219346549
noise0_shift2,kmeans,N,Y,N,Y,N,N,Y,N,0.2061887857552416,0.4306326138565807,0.398,0.368734049403942
noise0_shift2,maxmin,N,Y,N,Y,N,N,Y,N,0.16606331339065675,0.3593251352181263,0.377,0.3320627102586517
noise0_shift2,agglomerative,N,Y,N,Y,N,N,Y,N,0.2455271899899374,0.5009685088958539,0.423,0.3749545219346549
noise0_shift2,kmeans,N,Y,N,N,Y,Y,N,N,0.17806379472902603,0.39719931138846726,0.378,0.3058509013875721
noise0_shift2,maxmin,N,Y,N,N,Y,Y,N,N,0.16695703882944016,0.37337208259404414,0.388,0.3341262488061242
noise0_shift2,agglomerative,N,Y,N,N,Y,Y,N,N,0.2444032476917893,0.5119115396350076,0.474,0.3929464415530891
noise0_shift2,kmeans,N,Y,N,N,Y,N,Y,N,0.1558057147927387,0.38543114364238545,0.368,0.30351561155063084
noise0_shift2,maxmin,N,Y,N,N,Y,N,Y,N,0.13617259778202767,0.33048356298823744,0.372,0.2975231933194599
noise0_shift2,agglomerative,N,Y,N,N,Y,N,Y,N,0.2370916021217317,0.5075587648961225,0.47,0.39369320193328605
noise0_shift2,kmeans,N,Y,N,N,N,Y,Y,N,0.16466935040540603,0.387579970933364,0.386,0.3165440370758531
noise0_shift2,maxmin,N,Y,N,N,N,Y,Y,N,0.17215361200122406,0.3783814517398191,0.374,0.32876999656135075
noise0_shift2,agglomerative,N,Y,N,N,N,Y,Y,N,0.25439751245362446,0.4952846493137449,0.425,0.31668008430255895
noise0_shift2,kmeans,N,N,Y,Y,Y,N,N,N,0.26575643211676986,0.47753903851951557,0.466,0.38870564734095325
noise0_shift2,maxmin,N,N,Y,Y,Y,N,N,N,0.18067421058696828,0.3925829280828738,0.385,0.3179815805952705
noise0_shift2,agglomerative,N,N,Y,Y,Y,N,N,N,0.22382358370920422,0.48025333540100335,0.419,0.3773250012261552
noise0_shift2,kmeans,N,N,Y,Y,N,Y,N,N,0.25395647821276146,0.47362136911808683,0.44,0.41482018640280066
noise0_shift2,maxmin,N,N,Y,Y,N,Y,N,N,0.2012714241087562,0.4232312643091032,0.408,0.36177961497121475
noise0_shift2,agglomerative,N,N,Y,Y,N,Y,N,N,0.27638776968602535,0.5267072722506497,0.442,0.39335461008033806
noise0_shift2,kmeans,N,N,Y,Y,N,N,Y,N,0.26981781384918146,0.48147448724454,0.467,0.4240628858212901
noise0_shift2,maxmin,N,N,Y,Y,N,N,Y,N,0.22304185499398615,0.4413406155062834,0.419,0.3684352862433904
noise0_shift2,agglomerative,N,N,Y,Y,N,N,Y,N,0.2487979995762335,0.5004654852699643,0.425,0.4092214280987453
noise0_shift2,kmeans,N,N,Y,N,Y,Y,N,N,0.34280784107136764,0.5669734668110156,0.53,0.4669991145743414
noise0_shift2,maxmin,N,N,Y,N,Y,Y,N,N,0.1785140915220608,0.4254834101881322,0.427,0.3756766951161151
noise0_shift2,agglomerative,N,N,Y,N,Y,Y,N,N,0.42253733404019184,0.6498309164547582,0.568,0.5314496583362145
noise0_shift2,kmeans,N,N,Y,N,Y,N,Y,N,0.21736706257635532,0.42359441877985327,0.442,0.36273847670688586
noise0_shift2,maxmin,N,N,Y,N,Y,N,Y,N,0.16975761962655572,0.37871545659053457,0.366,0.31694335454902245
noise0_shift2,agglomerative,N,N,Y,N,Y,N,Y,N,0.19851981547937245,0.4194277124075566,0.406,0.3323816038557951
noise0_shift2,kmeans,N,N,Y,N,N,Y,Y,N,0.5640775734874215,0.7497566397543741,0.691,0.6555544995129895
noise0_shift2,maxmin,N,N,Y,N,N,Y,Y,N,0.2566350562882307,0.5351399847248334,0.492,0.4216488418758007
noise0_shift2,agglomerative,N,N,Y,N,N,Y,Y,N,0.6667624436887449,0.826914988387382,0.725,0.6885728399246787
noise0_shift2,kmeans,N,N,N,Y,Y,Y,N,N,0.259893465875567,0.4647537339762548,0.44,0.43525495863406843
noise0_shift2,maxmin,N,N,N,Y,Y,Y,N,N,0.20102352807883536,0.4267385299957894,0.417,0.40441441844170595
noise0_shift2,agglomerative,N,N,N,Y,Y,Y,N,N,0.28633117360818533,0.4980358937751906,0.439,0.38815148349921413
noise0_shift2,kmeans,N,N,N,Y,Y,N,Y,N,0.2334168321136192,0.4620923204676595,0.396,0.3487953902736041
noise0_shift2,maxmin,N,N,N,Y,Y,N,Y,N,0.17847980174679537,0.3982885238872756,0.393,0.38089588730017054
noise0_shift2,agglomerative,N,N,N,Y,Y,N,Y,N,0.20037734367975246,0.4292832052243357,0.371,0.33035260708625475
noise0_shift2,kmeans,N,N,N,Y,N,Y,Y,N,0.28022312254527093,0.5078547804366199,0.465,0.4651152653075199
noise0_shift2,maxmin,N,N,N,Y,N,Y,Y,N,0.22729484375281375,0.46083158773216537,0.446,0.39754615405873717
noise0_shift2,agglomerative,N,N,N,Y,N,Y,Y,N,0.32447517185003455,0.5761560076086442,0.488,0.4013867073391932
noise0_shift2,kmeans,N,N,N,N,Y,Y,Y,N,0.4498132222952352,0.6718580795530041,0.623,0.5978884569374024
noise0_shift2,maxmin,N,N,N,N,Y,Y,Y,N,0.2511869455849973,0.531279233477551,0.495,0.43056389343586715
noise0_shift2,agglomerative,N,N,N,N,Y,Y,Y,N,0.4303425087904903,0.7034525264987649,0.61,0.5522059646565686
noise0_shift2,kmeans,Y,Y,Y,Y,N,N,N,N,0.21933867577320698,0.4525883579564272,0.389,0.33952499541606557
noise0_shift2,maxmin,Y,Y,Y,Y,N,N,N,N,0.15230417322110898,0.34064850904385974,0.36,0.29225629729413327
noise0_shift2,agglomerative,Y,Y,Y,Y,N,N,N,N,0.24667051980117363,0.5018728213763153,0.423,0.375081982903671
noise0_shift2,kmeans,Y,Y,Y,N,Y,N,N,N,0.18883077569752532,0.4139684029236843,0.397,0.33275268901600824
noise0_shift2,maxmin,Y,Y,Y,N,Y,N,N,N,0.12190661963882111,0.3229364465151039,0.36,0.28725827622082833
noise0_shift2,agglomerative,Y,Y,Y,N,Y,N,N,N,0.24256425323215858,0.5078870567879822,0.485,0.4238764788263108
noise0_shift2,kmeans,Y,Y,Y,N,N,Y,N,N,0.22277026120618615,0.48356609972223524,0.457,0.4131250062546069
noise0_shift2,maxmin,Y,Y,Y,N,N,Y,N,N,0.20365693040222377,0.4129625858026762,0.4,0.3571465898908757
noise0_shift2,agglomerative,Y,Y,Y,N,N,Y,N,N,0.28174121097632987,0.5803302186980367,0.514,0.48971226690475633
noise0_shift2,kmeans,Y,Y,Y,N,N,N,Y,N,0.22094497157491932,0.43195935021217247,0.445,0.37161548026279406
noise0_shift2,maxmin,Y,Y,Y,N,N,N,Y,N,0.1889651320753422,0.4006114122601029,0.405,0.3407752526579469
